(km);Espoo ;Helsinki ;Joensuu ;Jyväskylä ;Kotka ;Kuopio ;Lahti ;Lappeenranta ;Oulu ;Pori ;Rovaniemi ;Tampere ;Turku ;Vaasa ;Vantaa 
Espoo;0;16;381;234;130;340;103;215;537;211;703;152;134;360;24
Helsinki;16;0;373;235;116;336;99;203;540;225;706;161;151;370;15
Joensuu;381;373;0;211;281;111;281;191;341;434;475;336;464;417;359
Jyväskylä;234;235;211;0;208;123;140;184;309;224;474;133;272;232;220
Kotka;130;116;281;208;0;273;91;94;512;300;674;207;257;405;107
Kuopio;340;336;111;123;273;0;238;206;259;343;412;256;394;307;321
Lahti;103;99;281;140;91;238;0;136;449;214;614;117;194;316;84
Lappeenranta;215;203;191;184;94;206;136;0;461;345;618;242;329;411;192
Oulu;537;540;341;309;512;259;449;461;0;434;166;401;533;284;526
Pori;211;225;434;224;300;343;214;345;434;0;590;105;118;180;220
Rovaniemi;703;706;475;474;674;412;614;618;166;590;0;565;695;426;692
Tampere;152;161;336;133;207;256;117;242;401;105;565;0;142;210;151
Turku;134;151;464;272;257;394;194;329;533;118;695;142;0;296;154
Vaasa;360;370;417;232;405;307;316;411;284;180;426;210;296;0;360
Vantaa;24;15;359;220;107;321;84;192;526;220;692;151;154;360;0
